App_ID,SPDI_Category,SPDI_Records_Exposed,Primary_Vulnerability,Rule_8_ISO27001_Audited,Rule_8_Encryption_Active,Rule_5_Explicit_Consent,Rule_5_Grievance_Mechanism,BCP_IR_Plan_Tested
APP_NLIU_0021,Rule_3_iii_v_Health_Medical_Records,133131,Exception_Handling_Failure,0,0,1,0,1
APP_NLIU_0022,Rule_3_i_Passwords,1099096,XSS,0,1,1,1,1
APP_NLIU_0023,Rule_3_ii_Financial_Data,330063,None,0,0,1,1,1
APP_NLIU_0024,Rule_3_ii_Financial_Data,639157,None,1,0,1,1,0
APP_NLIU_0025,Rule_3_ii_Financial_Data,593730,None,1,1,0,1,1
APP_NLIU_0026,Rule_3_vi_Biometric_Information,1838889,XSS,1,1,1,1,1
APP_NLIU_0027,Rule_3_i_Passwords,1206418,CSRF,1,0,0,1,0
APP_NLIU_0028,Rule_3_iii_v_Health_Medical_Records,372390,SQL_Injection,1,1,1,1,1
APP_NLIU_0029,Rule_3_iii_v_Health_Medical_Records,1756434,None,0,0,0,1,1
APP_NLIU_0030,Rule_3_i_Passwords,1425407,SQL_Injection,1,0,0,1,0
APP_NLIU_0031,Rule_3_iii_v_Health_Medical_Records,527485,CSRF,1,1,0,1,0
APP_NLIU_0032,Rule_3_i_Passwords,652735,XSS,1,0,1,1,1
APP_NLIU_0033,Rule_3_i_Passwords,1639341,XSS,1,1,0,1,0
APP_NLIU_0034,Multi_Category_SPDI,529532,Exception_Handling_Failure,1,0,1,1,1
APP_NLIU_0035,Multi_Category_SPDI,955292,SSRF,1,1,1,1,1
APP_NLIU_0036,Rule_3_vi_Biometric_Information,1017845,CSRF,0,1,1,0,0
APP_NLIU_0037,Rule_3_ii_Financial_Data,1919461,Exception_Handling_Failure,1,1,0,0,1
APP_NLIU_0038,Rule_3_i_Passwords,455953,None,0,0,1,1,0
APP_NLIU_0039,Rule_3_iii_v_Health_Medical_Records,1231137,None,1,1,1,1,0
APP_NLIU_0040,Rule_3_ii_Financial_Data,919394,None,0,1,0,1,0
APP_NLIU_0041,Rule_3_i_Passwords,862735,None,1,1,1,1,1
APP_NLIU_0042,Rule_3_ii_Financial_Data,1344110,XSS,1,1,1,1,0
APP_NLIU_0043,Rule_3_i_Passwords,539535,SSRF,1,1,1,1,0
APP_NLIU_0044,Multi_Category_SPDI,1253699,Exception_Handling_Failure,1,1,0,1,1
APP_NLIU_0045,Rule_3_ii_Financial_Data,1768655,Exception_Handling_Failure,1,1,1,1,1
APP_NLIU_0046,Rule_3_iii_v_Health_Medical_Records,1481470,Exception_Handling_Failure,1,1,1,1,0
APP_NLIU_0047,Rule_3_ii_Financial_Data,1045673,XSS,0,1,1,1,0
APP_NLIU_0048,Rule_3_iii_v_Health_Medical_Records,486018,XSS,1,0,1,1,1
APP_NLIU_0049,Rule_3_iii_v_Health_Medical_Records,1260934,CSRF,0,1,1,1,1
APP_NLIU_0050,Rule_3_i_Passwords,821015,XSS,0,1,1,1,1
APP_NLIU_0051,Multi_Category_SPDI,521456,SSRF,0,1,1,1,0
APP_NLIU_0052,Rule_3_vi_Biometric_Information,1192724,None,1,0,1,1,0
APP_NLIU_0053,Multi_Category_SPDI,940510,SSRF,1,1,1,1,1
APP_NLIU_0054,Multi_Category_SPDI,1199699,SQL_Injection,0,1,1,1,1
APP_NLIU_0055,Rule_3_iii_v_Health_Medical_Records,402530,XSS,1,1,1,1,1
APP_NLIU_0056,Multi_Category_SPDI,557958,Exception_Handling_Failure,1,1,1,1,1
APP_NLIU_0057,Rule_3_i_Passwords,1547549,XSS,1,1,1,1,1
APP_NLIU_0058,Rule_3_i_Passwords,990055,CSRF,1,1,1,0,0
APP_NLIU_0059,Rule_3_i_Passwords,1964928,XSS,0,0,1,0,1
APP_NLIU_0060,Rule_3_ii_Financial_Data,1063812,CSRF,1,0,1,0,0
APP_NLIU_0061,Rule_3_ii_Financial_Data,40568,None,0,0,1,0,1
APP_NLIU_0062,Rule_3_ii_Financial_Data,1685191,None,1,0,1,1,1
APP_NLIU_0063,Rule_3_vi_Biometric_Information,260745,XSS,1,1,0,1,1
APP_NLIU_0064,Rule_3_ii_Financial_Data,377332,CSRF,1,1,1,1,0
APP_NLIU_0065,Rule_3_ii_Financial_Data,490119,None,0,1,1,0,0
APP_NLIU_0066,Rule_3_iii_v_Health_Medical_Records,283496,SQL_Injection,0,1,1,1,0
APP_NLIU_0067,Rule_3_i_Passwords,1703585,XSS,0,1,0,1,0
APP_NLIU_0068,Rule_3_vi_Biometric_Information,264291,CSRF,1,1,1,1,1
APP_NLIU_0069,Rule_3_i_Passwords,443866,None,0,1,1,0,1
APP_NLIU_0070,Multi_Category_SPDI,408562,SQL_Injection,1,0,0,1,1
APP_NLIU_0071,Rule_3_vi_Biometric_Information,685516,XSS,0,1,1,1,0
APP_NLIU_0072,Rule_3_i_Passwords,60904,None,1,0,1,0,0
APP_NLIU_0073,Rule_3_i_Passwords,1985115,XSS,0,1,1,1,0
APP_NLIU_0074,Rule_3_vi_Biometric_Information,913573,SQL_Injection,0,1,1,1,0
APP_NLIU_0075,Rule_3_iii_v_Health_Medical_Records,283252,None,1,1,1,1,1
APP_NLIU_0076,Rule_3_iii_v_Health_Medical_Records,527247,XSS,1,0,1,1,1
APP_NLIU_0077,Rule_3_vi_Biometric_Information,794285,Exception_Handling_Failure,1,1,1,1,1
APP_NLIU_0078,Rule_3_i_Passwords,351300,SSRF,0,1,0,1,1
APP_NLIU_0079,Rule_3_ii_Financial_Data,271320,XSS,1,0,0,0,1
APP_NLIU_0080,Rule_3_i_Passwords,629747,XSS,1,0,1,1,0
APP_NLIU_0081,Multi_Category_SPDI,1472712,SQL_Injection,0,1,1,1,0
APP_NLIU_0082,Rule_3_iii_v_Health_Medical_Records,1239498,SQL_Injection,1,0,1,1,1
APP_NLIU_0083,Rule_3_ii_Financial_Data,1191477,None,1,1,1,1,1
APP_NLIU_0084,Rule_3_i_Passwords,128225,SSRF,0,1,0,1,1
APP_NLIU_0085,Rule_3_ii_Financial_Data,498406,SSRF,1,1,1,1,0
APP_NLIU_0086,Rule_3_ii_Financial_Data,1813711,XSS,1,0,0,1,1
APP_NLIU_0087,Rule_3_iii_v_Health_Medical_Records,226738,None,0,1,1,1,0
APP_NLIU_0088,Rule_3_iii_v_Health_Medical_Records,909890,SQL_Injection,1,1,0,1,0
APP_NLIU_0089,Multi_Category_SPDI,1688757,XSS,0,0,1,0,1
APP_NLIU_0090,Rule_3_ii_Financial_Data,865359,SQL_Injection,1,0,0,1,0
APP_NLIU_0091,Rule_3_i_Passwords,483076,SQL_Injection,1,0,1,1,1
APP_NLIU_0092,Rule_3_iii_v_Health_Medical_Records,1958186,SQL_Injection,0,1,1,1,0
APP_NLIU_0093,Rule_3_vi_Biometric_Information,247726,None,0,1,0,1,1
APP_NLIU_0094,Rule_3_iii_v_Health_Medical_Records,1356387,SQL_Injection,0,0,1,1,0
APP_NLIU_0095,Rule_3_vi_Biometric_Information,726202,SQL_Injection,1,1,0,1,0
APP_NLIU_0096,Rule_3_ii_Financial_Data,1482635,XSS,1,1,1,1,1
APP_NLIU_0097,Rule_3_iii_v_Health_Medical_Records,711168,None,0,1,1,1,0
APP_NLIU_0098,Rule_3_ii_Financial_Data,1477335,CSRF,0,1,1,0,0
APP_NLIU_0099,Rule_3_i_Passwords,470996,XSS,0,0,0,1,1
APP_NLIU_0100,Rule_3_i_Passwords,1060187,SQL_Injection,0,0,1,1,1
APP_NLIU_0101,Rule_3_i_Passwords,1403962,XSS,1,1,1,1,0
APP_NLIU_0102,Rule_3_iii_v_Health_Medical_Records,1924620,XSS,1,0,1,1,0
APP_NLIU_0103,Rule_3_ii_Financial_Data,1886910,XSS,1,1,1,1,1
APP_NLIU_0104,Rule_3_iii_v_Health_Medical_Records,776812,CSRF,1,1,0,1,1
APP_NLIU_0105,Multi_Category_SPDI,1348763,CSRF,1,1,1,1,1
APP_NLIU_0106,Rule_3_ii_Financial_Data,141343,SQL_Injection,1,1,1,1,0
APP_NLIU_0107,Rule_3_ii_Financial_Data,864299,CSRF,1,1,1,1,1
APP_NLIU_0108,Rule_3_vi_Biometric_Information,344233,SQL_Injection,1,1,0,0,0
APP_NLIU_0109,Rule_3_ii_Financial_Data,850177,None,0,1,1,1,0
APP_NLIU_0110,Rule_3_i_Passwords,1543668,None,0,1,1,1,0
APP_NLIU_0111,Rule_3_ii_Financial_Data,984581,None,0,1,1,1,0
APP_NLIU_0112,Rule_3_i_Passwords,1243767,None,1,1,1,1,1
APP_NLIU_0113,Multi_Category_SPDI,1720509,Exception_Handling_Failure,1,0,1,0,0
APP_NLIU_0114,Rule_3_vi_Biometric_Information,1730345,None,1,0,1,1,1
APP_NLIU_0115,Rule_3_iii_v_Health_Medical_Records,877402,CSRF,1,1,0,1,1
APP_NLIU_0116,Multi_Category_SPDI,1340184,Exception_Handling_Failure,1,1,1,1,0
APP_NLIU_0117,Rule_3_vi_Biometric_Information,1302796,XSS,0,1,0,1,1
APP_NLIU_0118,Rule_3_i_Passwords,1489632,XSS,0,1,1,1,1
APP_NLIU_0119,Multi_Category_SPDI,971289,None,0,0,1,1,1
APP_NLIU_0120,Rule_3_iii_v_Health_Medical_Records,647811,CSRF,0,1,1,1,0
APP_NLIU_0121,Rule_3_vi_Biometric_Information,1598526,CSRF,1,1,1,0,0
APP_NLIU_0122,Multi_Category_SPDI,809660,None,1,1,0,1,0
APP_NLIU_0123,Rule_3_ii_Financial_Data,590009,SQL_Injection,1,1,1,1,1
APP_NLIU_0124,Rule_3_i_Passwords,667746,XSS,1,1,0,0,0
APP_NLIU_0125,Rule_3_ii_Financial_Data,798294,None,1,1,1,1,1
APP_NLIU_0126,Rule_3_ii_Financial_Data,569396,Exception_Handling_Failure,1,1,1,1,0
APP_NLIU_0127,Rule_3_vi_Biometric_Information,96788,XSS,1,1,1,0,1
APP_NLIU_0128,Multi_Category_SPDI,473239,SSRF,1,1,1,1,0
APP_NLIU_0129,Rule_3_i_Passwords,249437,CSRF,1,0,1,0,0
APP_NLIU_0130,Rule_3_iii_v_Health_Medical_Records,1814875,None,1,1,1,1,0
APP_NLIU_0131,Rule_3_ii_Financial_Data,871572,XSS,1,1,0,1,1
APP_NLIU_0132,Rule_3_ii_Financial_Data,1005467,XSS,0,1,1,0,1
APP_NLIU_0133,Rule_3_i_Passwords,687561,SQL_Injection,1,1,1,1,1
APP_NLIU_0134,Rule_3_ii_Financial_Data,1908586,SQL_Injection,1,1,1,1,0
APP_NLIU_0135,Multi_Category_SPDI,54966,None,0,1,1,1,1
APP_NLIU_0136,Rule_3_ii_Financial_Data,190846,CSRF,1,1,1,1,1
APP_NLIU_0137,Rule_3_iii_v_Health_Medical_Records,1326106,Exception_Handling_Failure,0,1,1,1,0
APP_NLIU_0138,Rule_3_iii_v_Health_Medical_Records,606516,SQL_Injection,0,0,1,1,0
APP_NLIU_0139,Rule_3_ii_Financial_Data,1044524,Exception_Handling_Failure,0,1,1,1,0
APP_NLIU_0140,Multi_Category_SPDI,1199873,None,1,0,1,1,0
APP_NLIU_0141,Multi_Category_SPDI,1463485,XSS,1,0,1,1,0
APP_NLIU_0142,Rule_3_ii_Financial_Data,1387917,SQL_Injection,1,1,0,1,1
APP_NLIU_0143,Rule_3_ii_Financial_Data,48021,XSS,1,1,0,1,1
APP_NLIU_0144,Rule_3_ii_Financial_Data,386059,None,0,0,1,1,0
APP_NLIU_0145,Rule_3_ii_Financial_Data,154333,XSS,0,1,1,0,0
APP_NLIU_0146,Rule_3_i_Passwords,425594,None,0,1,1,1,0
APP_NLIU_0147,Rule_3_iii_v_Health_Medical_Records,908606,Exception_Handling_Failure,1,0,1,1,1
APP_NLIU_0148,Rule_3_iii_v_Health_Medical_Records,781934,None,1,1,1,1,0
APP_NLIU_0149,Rule_3_i_Passwords,91755,Exception_Handling_Failure,0,1,1,1,0
APP_NLIU_0150,Rule_3_ii_Financial_Data,934441,SQL_Injection,0,1,0,1,0
APP_NLIU_0151,Multi_Category_SPDI,1119906,CSRF,0,1,1,1,1
APP_NLIU_0152,Rule_3_ii_Financial_Data,707726,SSRF,1,1,1,1,0
APP_NLIU_0153,Rule_3_i_Passwords,863754,None,0,1,1,1,1
APP_NLIU_0154,Rule_3_ii_Financial_Data,1942326,None,0,1,1,1,0
APP_NLIU_0155,Multi_Category_SPDI,574601,Exception_Handling_Failure,1,1,1,0,0
APP_NLIU_0156,Rule_3_ii_Financial_Data,239729,CSRF,1,1,1,1,0
APP_NLIU_0157,Rule_3_iii_v_Health_Medical_Records,762071,SSRF,1,1,1,1,1
APP_NLIU_0158,Rule_3_vi_Biometric_Information,1342752,None,1,0,1,1,0
APP_NLIU_0159,Rule_3_ii_Financial_Data,1538755,XSS,1,0,1,1,1
APP_NLIU_0160,Rule_3_iii_v_Health_Medical_Records,153430,SSRF,1,1,0,0,0
APP_NLIU_0161,Rule_3_ii_Financial_Data,1046431,Exception_Handling_Failure,1,1,0,1,0
APP_NLIU_0162,Rule_3_iii_v_Health_Medical_Records,1901718,SQL_Injection,0,0,1,0,1
APP_NLIU_0163,Rule_3_iii_v_Health_Medical_Records,1411046,CSRF,1,1,1,1,0
APP_NLIU_0164,Rule_3_iii_v_Health_Medical_Records,1401877,XSS,1,0,0,0,0
APP_NLIU_0165,Rule_3_i_Passwords,447037,SQL_Injection,0,0,0,1,0
APP_NLIU_0166,Rule_3_vi_Biometric_Information,33365,None,1,0,1,1,0
APP_NLIU_0167,Rule_3_ii_Financial_Data,1328909,SSRF,0,1,1,1,0
APP_NLIU_0168,Rule_3_i_Passwords,1523541,SQL_Injection,1,1,1,1,0
APP_NLIU_0169,Rule_3_i_Passwords,1585112,SSRF,1,0,0,1,0
APP_NLIU_0170,Rule_3_iii_v_Health_Medical_Records,1057945,None,0,1,0,1,1
APP_NLIU_0171,Rule_3_iii_v_Health_Medical_Records,461979,XSS,1,0,1,0,1
APP_NLIU_0172,Rule_3_i_Passwords,1979130,XSS,1,1,1,1,0
APP_NLIU_0173,Rule_3_iii_v_Health_Medical_Records,1868613,SQL_Injection,1,0,1,0,1
APP_NLIU_0174,Rule_3_ii_Financial_Data,1889624,SQL_Injection,1,1,1,1,0
APP_NLIU_0175,Rule_3_iii_v_Health_Medical_Records,1501271,XSS,0,1,1,1,1
APP_NLIU_0176,Rule_3_i_Passwords,370863,None,1,1,1,1,1
APP_NLIU_0177,Rule_3_iii_v_Health_Medical_Records,1225531,None,1,0,0,1,1
APP_NLIU_0178,Rule_3_ii_Financial_Data,1610919,SQL_Injection,0,0,1,1,1
APP_NLIU_0179,Multi_Category_SPDI,1777667,XSS,1,1,0,1,0
APP_NLIU_0180,Rule_3_i_Passwords,1432400,None,1,1,1,0,0
APP_NLIU_0181,Rule_3_ii_Financial_Data,274594,CSRF,1,1,0,1,1
APP_NLIU_0182,Rule_3_i_Passwords,1187573,None,0,1,0,1,0
APP_NLIU_0183,Multi_Category_SPDI,478267,SQL_Injection,1,1,1,1,0
APP_NLIU_0184,Multi_Category_SPDI,55272,None,1,1,1,0,0
APP_NLIU_0185,Rule_3_ii_Financial_Data,1058886,None,1,1,1,1,0
APP_NLIU_0186,Rule_3_iii_v_Health_Medical_Records,1085393,None,0,0,1,1,1
APP_NLIU_0187,Rule_3_vi_Biometric_Information,1561926,Exception_Handling_Failure,1,1,1,1,0
APP_NLIU_0188,Rule_3_iii_v_Health_Medical_Records,491160,CSRF,1,1,0,1,0
APP_NLIU_0189,Rule_3_iii_v_Health_Medical_Records,1491320,None,0,1,1,1,1
APP_NLIU_0190,Rule_3_ii_Financial_Data,978283,CSRF,1,0,1,0,0
APP_NLIU_0191,Rule_3_i_Passwords,745176,CSRF,1,1,0,0,0
APP_NLIU_0192,Multi_Category_SPDI,87641,None,0,1,1,1,1
APP_NLIU_0193,Multi_Category_SPDI,1793019,None,0,1,1,1,0
APP_NLIU_0194,Rule_3_iii_v_Health_Medical_Records,1785246,None,1,0,1,1,1
APP_NLIU_0195,Rule_3_ii_Financial_Data,1593321,SSRF,1,1,1,0,0
APP_NLIU_0196,Rule_3_ii_Financial_Data,47311,None,0,0,1,1,0
APP_NLIU_0197,Rule_3_iii_v_Health_Medical_Records,1975060,None,0,1,0,1,0
APP_NLIU_0198,Multi_Category_SPDI,1205534,SQL_Injection,1,1,1,1,1
APP_NLIU_0199,Multi_Category_SPDI,1523904,CSRF,1,1,1,1,1
APP_NLIU_0200,Rule_3_vi_Biometric_Information,1497669,CSRF,0,1,0,1,1
APP_NLIU_0201,Rule_3_iii_v_Health_Medical_Records,1701437,CSRF,1,1,1,1,1
APP_NLIU_0202,Rule_3_i_Passwords,364571,None,0,1,1,1,0
APP_NLIU_0203,Rule_3_i_Passwords,1876189,Exception_Handling_Failure,1,0,0,1,1
APP_NLIU_0204,Multi_Category_SPDI,1217910,None,1,1,0,0,1
APP_NLIU_0205,Rule_3_iii_v_Health_Medical_Records,1972027,None,1,1,1,0,0
APP_NLIU_0206,Rule_3_i_Passwords,398238,CSRF,0,0,0,1,1
APP_NLIU_0207,Rule_3_i_Passwords,792560,None,1,1,1,0,1
APP_NLIU_0208,Rule_3_iii_v_Health_Medical_Records,1657386,XSS,1,0,0,1,1
APP_NLIU_0209,Rule_3_i_Passwords,1216970,None,1,0,0,1,0
APP_NLIU_0210,Rule_3_i_Passwords,53929,SSRF,1,1,0,1,1
APP_NLIU_0211,Rule_3_iii_v_Health_Medical_Records,610984,None,0,1,1,0,0
APP_NLIU_0212,Rule_3_iii_v_Health_Medical_Records,382389,SSRF,1,1,0,1,1
APP_NLIU_0213,Rule_3_iii_v_Health_Medical_Records,801240,CSRF,1,1,0,1,0
APP_NLIU_0214,Rule_3_ii_Financial_Data,1673012,None,1,1,1,0,1
APP_NLIU_0215,Rule_3_iii_v_Health_Medical_Records,451098,CSRF,1,0,1,1,0
APP_NLIU_0216,Rule_3_ii_Financial_Data,813157,Exception_Handling_Failure,1,0,0,1,1
APP_NLIU_0217,Rule_3_ii_Financial_Data,1388254,XSS,0,1,1,1,0
APP_NLIU_0218,Rule_3_iii_v_Health_Medical_Records,1355670,None,1,1,0,0,1
APP_NLIU_0219,Rule_3_iii_v_Health_Medical_Records,1797890,SSRF,1,1,1,1,1
APP_NLIU_0220,Rule_3_vi_Biometric_Information,88576,SQL_Injection,1,1,1,1,1
APP_NLIU_0221,Rule_3_iii_v_Health_Medical_Records,25557,CSRF,1,0,0,1,0
APP_NLIU_0222,Rule_3_iii_v_Health_Medical_Records,551113,XSS,1,1,0,1,0
APP_NLIU_0223,Rule_3_i_Passwords,1324718,SSRF,0,1,1,1,0
APP_NLIU_0224,Rule_3_ii_Financial_Data,41080,CSRF,0,1,1,0,1
APP_NLIU_0225,Rule_3_ii_Financial_Data,1836679,CSRF,0,0,0,1,1
APP_NLIU_0226,Rule_3_ii_Financial_Data,1242445,SQL_Injection,1,1,0,1,1
APP_NLIU_0227,Multi_Category_SPDI,1724738,XSS,0,0,1,1,0
APP_NLIU_0228,Rule_3_ii_Financial_Data,1982247,None,0,1,1,1,0
APP_NLIU_0229,Multi_Category_SPDI,498844,SSRF,1,0,0,1,1
APP_NLIU_0230,Rule_3_iii_v_Health_Medical_Records,1620271,XSS,1,1,1,1,0
APP_NLIU_0231,Rule_3_vi_Biometric_Information,1173859,Exception_Handling_Failure,1,1,1,1,0
APP_NLIU_0232,Rule_3_iii_v_Health_Medical_Records,18338,XSS,1,1,0,1,0
APP_NLIU_0233,Rule_3_iii_v_Health_Medical_Records,605577,None,1,1,1,1,0
APP_NLIU_0234,Rule_3_ii_Financial_Data,1518312,XSS,0,0,0,1,0
APP_NLIU_0235,Rule_3_i_Passwords,1727831,XSS,1,1,1,1,1
APP_NLIU_0236,Rule_3_iii_v_Health_Medical_Records,183982,SQL_Injection,1,1,1,0,0
APP_NLIU_0237,Rule_3_ii_Financial_Data,1971037,Exception_Handling_Failure,1,1,1,1,1
APP_NLIU_0238,Rule_3_i_Passwords,1162943,Exception_Handling_Failure,1,1,1,0,1
APP_NLIU_0239,Rule_3_iii_v_Health_Medical_Records,333042,SQL_Injection,1,1,1,0,1
APP_NLIU_0240,Rule_3_i_Passwords,925958,CSRF,1,1,1,0,0
APP_NLIU_0241,Multi_Category_SPDI,1695350,None,0,1,1,1,0
APP_NLIU_0242,Multi_Category_SPDI,1402260,XSS,1,1,1,0,0
APP_NLIU_0243,Multi_Category_SPDI,1548351,XSS,0,0,1,1,1
APP_NLIU_0244,Rule_3_ii_Financial_Data,1792073,None,1,0,0,0,1
APP_NLIU_0245,Rule_3_i_Passwords,448853,None,1,0,1,0,1
APP_NLIU_0246,Multi_Category_SPDI,1833919,XSS,1,0,1,1,0
APP_NLIU_0247,Rule_3_ii_Financial_Data,665709,None,1,1,0,1,1
APP_NLIU_0248,Multi_Category_SPDI,1965424,None,1,0,1,1,1
APP_NLIU_0249,Multi_Category_SPDI,831395,XSS,0,0,1,1,0
APP_NLIU_0250,Multi_Category_SPDI,998087,XSS,0,1,1,0,0
APP_NLIU_0251,Rule_3_ii_Financial_Data,1454542,CSRF,1,1,1,1,1
APP_NLIU_0252,Rule_3_ii_Financial_Data,362073,None,1,1,0,1,0
APP_NLIU_0253,Multi_Category_SPDI,1731399,Exception_Handling_Failure,1,1,0,1,1
APP_NLIU_0254,Rule_3_ii_Financial_Data,604223,SQL_Injection,1,0,1,1,0
APP_NLIU_0255,Rule_3_i_Passwords,1767728,None,0,0,1,1,0
APP_NLIU_0256,Rule_3_iii_v_Health_Medical_Records,805118,XSS,0,1,1,0,1
APP_NLIU_0257,Multi_Category_SPDI,1553131,SQL_Injection,0,1,0,0,0
APP_NLIU_0258,Rule_3_iii_v_Health_Medical_Records,1117104,XSS,1,1,1,1,1
APP_NLIU_0259,Rule_3_iii_v_Health_Medical_Records,1677675,XSS,0,1,0,0,1
APP_NLIU_0260,Rule_3_i_Passwords,513907,None,0,0,1,1,1
APP_NLIU_0261,Rule_3_iii_v_Health_Medical_Records,1338507,SSRF,1,1,1,1,1
APP_NLIU_0262,Multi_Category_SPDI,937280,None,1,0,0,1,0
APP_NLIU_0263,Rule_3_i_Passwords,382757,XSS,1,1,1,1,0
APP_NLIU_0264,Rule_3_iii_v_Health_Medical_Records,1017567,SQL_Injection,1,1,1,1,1
APP_NLIU_0265,Multi_Category_SPDI,717787,None,1,1,1,1,0
APP_NLIU_0266,Rule_3_iii_v_Health_Medical_Records,1838005,XSS,1,1,1,1,0
APP_NLIU_0267,Rule_3_iii_v_Health_Medical_Records,1158463,CSRF,1,1,0,1,0
APP_NLIU_0268,Rule_3_iii_v_Health_Medical_Records,1114662,XSS,1,1,0,1,0
APP_NLIU_0269,Rule_3_ii_Financial_Data,893663,None,0,1,1,1,1
APP_NLIU_0270,Rule_3_ii_Financial_Data,1309070,CSRF,0,1,1,1,0
APP_NLIU_0271,Rule_3_vi_Biometric_Information,513889,SSRF,0,1,1,1,0
APP_NLIU_0272,Rule_3_vi_Biometric_Information,1641172,SQL_Injection,1,1,1,0,0
APP_NLIU_0273,Multi_Category_SPDI,282941,CSRF,0,1,0,1,1
APP_NLIU_0274,Multi_Category_SPDI,1321022,None,1,0,0,1,1
APP_NLIU_0275,Rule_3_iii_v_Health_Medical_Records,461388,XSS,0,1,1,0,1
APP_NLIU_0276,Rule_3_iii_v_Health_Medical_Records,567347,SSRF,1,1,1,0,0
APP_NLIU_0277,Rule_3_vi_Biometric_Information,136980,SSRF,1,1,1,1,0
APP_NLIU_0278,Rule_3_iii_v_Health_Medical_Records,1769188,CSRF,1,1,1,0,0
APP_NLIU_0279,Rule_3_iii_v_Health_Medical_Records,1527451,None,1,0,1,0,0
APP_NLIU_0280,Rule_3_vi_Biometric_Information,148949,CSRF,0,0,1,1,1
APP_NLIU_0281,Multi_Category_SPDI,281383,None,1,1,1,0,0
APP_NLIU_0282,Rule_3_ii_Financial_Data,1009475,XSS,0,0,0,0,0
APP_NLIU_0283,Rule_3_ii_Financial_Data,32313,SSRF,1,0,1,1,1
APP_NLIU_0284,Rule_3_i_Passwords,1023394,None,1,0,1,1,1
APP_NLIU_0285,Rule_3_iii_v_Health_Medical_Records,1095679,XSS,0,0,1,1,1
APP_NLIU_0286,Rule_3_i_Passwords,184480,None,1,1,1,1,1
APP_NLIU_0287,Rule_3_ii_Financial_Data,1530043,None,1,1,0,1,0
APP_NLIU_0288,Rule_3_iii_v_Health_Medical_Records,1142347,SQL_Injection,1,1,1,1,0
APP_NLIU_0289,Rule_3_ii_Financial_Data,1179804,SQL_Injection,1,1,0,0,1
APP_NLIU_0290,Rule_3_iii_v_Health_Medical_Records,96665,None,1,0,1,0,0
APP_NLIU_0291,Rule_3_i_Passwords,801966,CSRF,1,0,1,1,0
APP_NLIU_0292,Rule_3_i_Passwords,1883068,SSRF,1,1,1,1,1
APP_NLIU_0293,Rule_3_vi_Biometric_Information,1857197,SQL_Injection,1,1,0,1,1
APP_NLIU_0294,Rule_3_ii_Financial_Data,1968439,SQL_Injection,0,0,0,1,0
APP_NLIU_0295,Rule_3_i_Passwords,1663931,None,1,1,1,1,0
APP_NLIU_0296,Rule_3_iii_v_Health_Medical_Records,802399,SQL_Injection,1,1,1,0,1
APP_NLIU_0297,Rule_3_vi_Biometric_Information,742351,XSS,0,1,1,1,0
APP_NLIU_0298,Rule_3_ii_Financial_Data,856995,Exception_Handling_Failure,0,0,1,1,0
APP_NLIU_0299,Rule_3_iii_v_Health_Medical_Records,275804,XSS,0,1,0,1,1
APP_NLIU_0300,Rule_3_i_Passwords,1434391,SQL_Injection,1,0,1,1,0
APP_NLIU_0301,Rule_3_i_Passwords,489091,None,1,1,1,1,0
